"Var1","Noah's Ark","Cobden View","The Stag's Head","Fagan's","Porter Brook","Walkley Cottage","Crucible Corner","Lescar Hotel","The Grapes","The York","The Hanover","Union Hotel","The Cremorne","The Sheaf View","The Brothers Arms","Rutland Arms","The Washington","The Shakespeare","The Fat Cat","Kelham Island Tavern","Closed Shop","The White Lion","The Devonshire Cat","The Red Deer","The Bath Hotel","Brown Bear","The Beer Engine","The University Arms","Sheffield Tap"
"Noah's Ark","0","353","1774","1612","1367","1112","2163","1597","1678","562","1419","2218","2265","2909","3055","2260","1666","1999","2070","2057","570","2947","1726","1521","1434","2144","1916","1178","2570"
"Cobden View","409","0","1937","1407","1555","1024","1959","1785","1474","775","1238","2406","2066","2818","2964","2056","1461","1794","1866","1853","366","2856","1521","1317","1229","1939","1717","974","2366"
"The Stag's Head","2149","2251","0","1815","590","3212","1825","502","1744","1490","1078","593","759","1288","1433","1463","1365","2234","2529","2440","2245","1325","1365","1693","1435","1755","723","1633","1761"
"Fagan's","2106","1846","1936","0","2039","2373","610","2168","150","1698","928","2529","1387","2036","2161","756","571","647","790","777","1482","2094","552","394","590","590","1038","614","983"
"Porter Brook","1765","1920","666","1949","0","2877","1965","237","1868","1085","1098","990","1308","1836","1982","1822","1427","2441","2584","2571","1914","1874","1495","1679","1463","1908","1153","1599","2144"
"Walkley Cottage","1258","1113","3031","2039","2625","0","2566","2855","2106","1819","2067","3475","2879","3632","3777","2712","2167","2070","1972","1959","985","3670","2227","1949","1949","2546","2531","1689","2939"
"Crucible Corner","2684","2424","1975","612","2063","2951","0","2192","486","2216","1140","2568","1396","1886","2011","428","742","647","931","819","2060","1944","723","787","901","60","1054","1192","446"
"Lescar Hotel","2015","2171","581","2081","240","3128","2097","0","2000","1335","1230","753","1223","1751","1897","1918","1558","2564","2690","2677","2164","1789","1627","1811","1595","2040","1177","1850","2216"
"The Grapes","2161","1901","1857","123","1932","2428","458","2061","0","1753","802","2450","1285","1909","2033","603","485","590","868","798","1537","1967","466","310","482","438","937","669","831"
"The York","712","887","1285","1313","837","1824","1828","1067","1380","0","936","1688","1823","2421","2566","1837","1243","1700","1843","1830","880","2458","1390","1232","1099","1808","1475","880","2147"
"The Hanover","1887","1628","1190","910","1158","2387","1104","1287","796","1253","0","1783","894","1647","1792","1034","440","1297","1440","1427","1496","1685","515","598","346","1047","546","544","1344"
"Union Hotel","2571","2727","585","2385","943","3683","2410","706","2329","1891","1663","0","1253","1256","1333","2048","1950","2819","3114","3025","2720","1053","1950","2278","2020","2341","1308","2218","2346"
"The Cremorne","2739","2479","937","1397","1411","3239","1402","1323","1325","2182","933","1428","0","753","898","1040","947","1816","2092","2021","2348","790","946","1275","1184","1332","362","1395","1260"
"The Sheaf View","3474","3264","1497","2075","1972","4024","1921","1884","1978","2815","1718","1460","785","0","142","1396","1638","2418","2709","2624","3132","249","1638","1967","1969","1851","1147","2180","1594"
"The Brothers Arms","3584","3373","1607","2167","2081","4133","2013","1993","2070","2925","1828","1487","894","111","0","1488","1730","2510","2801","2716","3242","226","1730","2059","2079","1943","1257","2290","1686"
"Rutland Arms","2831","2571","1693","840","1994","3145","498","2070","713","2270","1146","2286","1114","1447","1571","0","675","1095","1390","1281","2253","1561","656","1006","1059","491","773","1352","335"
"The Washington","2156","1896","1508","573","1518","2521","702","1647","509","1595","471","2102","936","1597","1721","594","0","1079","1271","1287","1629","1655","75","376","384","646","588","677","904"
"The Shakespeare","2621","2361","2480","599","2659","2457","757","2788","740","2212","1442","3073","1908","2478","2602","1145","1191","0","303","233","1900","2536","1172","975","1171","778","1560","1129","1077"
"The Fat Cat","2644","2384","2783","863","2758","2375","1027","2887","1004","2306","1553","3376","2188","2757","2882","1445","1375","322","0","71","1936","2815","1376","1120","1260","1048","1839","1239","1260"
"Kelham Island Tavern","2630","2371","2689","830","2744","2361","956","2874","931","2292","1539","3282","2117","2687","2811","1353","1422","254","70","0","1922","2745","1402","1107","1246","977","1769","1226","1258"
"Closed Shop","759","499","2078","1177","1697","1005","1704","1927","1244","916","1205","2547","2017","2770","2915","1850","1305","1534","1543","1530","0","2808","1365","1087","1087","1684","1669","827","2077"
"The White Lion","3515","3305","1538","2144","2012","4064","1990","1925","2048","2856","1759","1260","825","252","281","1521","1708","2488","2764","2694","3173","0","1708","2036","2010","1921","1188","2221","1719"
"The Devonshire Cat","2211","1951","1505","550","1610","2575","680","1739","487","1666","542","2098","933","1593","1718","572","71","1056","1250","1264","1684","1651","0","383","439","623","584","732","881"
"The Red Deer","1988","1728","1766","324","1714","2226","707","1843","262","1541","555","2359","1194","1854","1979","849","304","778","921","908","1335","1912","309","0","235","687","845","467","1081"
"The Bath Hotel","1869","1609","1520","545","1496","2238","836","1625","448","1422","318","2113","1114","1867","2012","922","327","998","1141","1128","1346","1905","387","250","0","775","766","390","1232"
"Brown Bear","2600","2340","1905","588","2003","2927","57","2132","461","2154","1080","2498","1326","1816","1941","417","682","664","949","836","2036","1874","663","763","829","0","984","1168","435"
"The Beer Engine","2434","2174","919","1091","1303","2934","1101","1296","1020","1876","628","1512","404","1157","1302","740","641","1510","1786","1716","2042","1195","641","970","879","1032","0","1090","1037"
"The University Arms","1548","1288","1633","489","1587","1899","1028","1737","556","1139","430","2226","1243","1995","2141","1125","530","876","1019","1006","1008","2033","590","399","298","1008","894","0","1435"
"Sheffield Tap","3090","2830","2032","1084","2365","3423","544","2408","958","2609","1485","2625","1376","1680","1804","371","1014","1053","1221","1224","2532","1794","994","1259","1319","537","1112","1664","0"
